Location,Lat,Lon,p,e
"White Hart Lane	Haringey	London",51.606153,-0.08849,4920,35340
"Woodside	Haringey	London",51.603616,-0.11073,5520,41420
"Belmont	Harrow	London",51.601249,-0.319275,3730,54020
"Canons	Harrow	London",51.613127,-0.287698,5250,50460
"Edgware	Harrow	London",51.614629,-0.277437,3780,41980
"Greenhill	Harrow	London",51.583011,-0.332767,5280,47230
"Harrow on the Hill	Harrow	London",51.570632,-0.339636,4760,50100
"Harrow Weald	Harrow	London",51.604895,-0.340692,4270,46390
"Hatch End	Harrow	London",51.608801,-0.370075,4090,53990
"Headstone North	Harrow	London",51.597901,-0.337076,3630,57100
"Headstone South	Harrow	London",51.597901,-0.337076,4100,49350
"Kenton East	Harrow	London",51.580677,-0.301482,3490,41060
"Kenton West	Harrow	London",51.580677,-0.301482,3460,48400
"Marlborough	Harrow	London",51.590248,-0.337736,4510,43080
"Pinner	Harrow	London",51.595172,-0.378002,4300,56320
"Pinner South	Harrow	London",51.595172,-0.378002,3950,64680
"Queensbury	Harrow	London",51.591869,-0.290707,3640,43850
"Rayners Lane	Harrow	London",51.575804,-0.375362,3790,51060
"Roxbourne	Harrow	London",51.567216,-0.36313,4780,40110
"Roxeth	Harrow	London",51.571076,-0.346111,3870,43940
"Stanmore Park	Harrow	London",51.621857,-0.317738,4620,49520
"Wealdstone	Harrow	London",51.597901,-0.337076,4080,40040
"West Harrow	Harrow	London",51.577783,-0.353272,3840,50910
"Brooklands	Havering	London",51.583252,0.174113,6570,42630
"Cranham	Havering	London",51.56192,0.268036,5300,51810
"Elm Park	Havering	London",51.546122,0.203161,5290,41990
"Emerson Park	Havering	London",51.57201,0.225394,4610,53940
"Gooshays	Havering	London",51.603178,0.228345,6120,35640
"Hacton	Havering	London",51.544018,0.231187,4980,48420
"Harold Wood	Havering	London",51.590448,0.235288,5620,44860
"Havering Park	Havering	London",51.607707,0.157121,5270,40590
"Heaton	Havering	London",51.598909,0.207474,5460,35830
"Hylands	Havering	London",51.571039,0.200595,5110,48630
"Mawneys	Havering	London",51.588775,0.158259,5410,43350
"Pettits	Havering	London",51.587239,0.185784,5320,48780
"Rainham and Wennington	Havering	London",51.5065,0.214303,5130,41660
"Romford Town	Havering	London",51.577076,0.178319,7420,45060
"St. Andrew's	Havering	London",51.560696,0.226231,5830,46300
"South Hornchurch	Havering	London",51.528252,0.188633,5640,40060
"Squirrel's Heath	Havering	London",51.588722,0.230957,5720,51110
"Upminster	Havering	London",51.555914,0.248894,5220,59340
"Barnhill	Hillingdon	London",51.587397,-0.392828,4450,38450
"Botwell	Hillingdon	London",51.507423,-0.41949,5510,37140
"Brunel	Hillingdon	London",51.502586,-0.42251,4930,41900
"Cavendish	Hillingdon	London",51.506133,-0.4633,4520,54290
"Charville	Hillingdon	London",51.537206,-0.429536,4470,42870
"Eastcote and East Ruislip	Hillingdon	London",51.577812,-0.389213,5180,59180
"Harefield	Hillingdon	London",51.60314,-0.484045,3100,46190
"Heathrow Villages	Hillingdon	London",51.482007,-0.462204,4740,40090
"Hillingdon East	Hillingdon	London",51.53427,-0.455018,4710,45220
"Ickenham	Hillingdon	London",51.563966,-0.442299,4070,61230
"Manor	Hillingdon	London",51.566754,-0.407218,4550,53570
"Northwood	Hillingdon	London",51.610289,-0.428278,4910,57970
"Northwood Hills	Hillingdon	London",51.60165,-0.410168,4890,53380
"Pinkwell	Hillingdon	London",51.497854,-0.43708,4740,38490
"South Ruislip	Hillingdon	London",51.557321,-0.393025,4870,48910
"Townfield	Hillingdon	London",51.513733,-0.420615,4840,36830
"Uxbridge North	Hillingdon	London",51.549723,-0.437002,5410,50820
"Uxbridge South	Hillingdon	London",51.5485,-0.479611,5540,41450
"West Drayton	Hillingdon	London",51.502985,-0.46541,5780,39500
"West Ruislip	Hillingdon	London",51.569718,-0.432239,5020,53580
